,movie_title,cluster_KMeans,tsne-2d-one,tsne-2d-two
456,Bedtime Stories,0,-8.333933,10.471156
457,Road to Perdition,7,7.916082,-10.515861
458,Just Go with It,0,-1.2253039,15.80848
460,Con Air,13,-3.3058038,-6.785365
461,Eagle Eye,13,-5.7531514,-7.5824585
462,Cold Mountain,2,10.300543,3.26065
463,The Book of Eli,4,-0.0646405,-3.5069118
464,Flubber,8,-9.024058,7.024219
465,The Haunting,6,-3.0070174,-13.2111
467,The Pink Panther,5,-11.287771,4.202411
468,The Day the Earth Stood Still,4,3.5777407,-7.0745525
469,Conspiracy Theory,13,-1.2924643,-7.878564
470,Fury,4,3.0055988,-3.1208277
471,Six Days Seven Nights,9,-7.4196672,-1.2705791
472,Yogi Bear,5,-14.744491,4.9846
473,Spirit: Stallion of the Cimarron,5,-15.543861,4.1356483
474,Zookeeper,0,-8.241629,11.935378
475,Lost in Space,3,-10.896032,-7.4820094
476,The Manchurian Candidate,1,3.9943755,-8.67892
478,Hotel Transylvania 2,5,-12.190336,6.3816237
480,Fantasia 2000,5,-11.859104,6.1168847
481,The Time Machine,3,-12.342876,-4.5828896
482,Mighty Joe Young,3,-8.331954,-4.4615016
483,Swordfish,13,-1.7949836,-7.025315
484,The Legend of Zorro,3,-8.051638,-2.076139
485,What Dreams May Come,2,9.159496,7.5287223
486,Little Nicky,8,-8.79071,5.0200653
487,The Brothers Grimm,3,-8.015332,-4.200765
488,Mars Attacks!,9,-8.627534,0.41330376
491,Surrogates,13,-7.967543,-7.503163
492,Thirteen Days,4,6.5324125,-4.753689
493,Daylight,4,-0.06538093,-3.5061862
494,Walking with Dinosaurs 3D,5,-15.428362,3.9264975
495,Battlefield Earth,3,-12.771068,-5.622931
497,Nine,2,12.648041,5.276115
498,Timeline,3,-12.339987,-4.581591
499,The Postman,3,-12.769679,-4.195442
500,Babe: Pig in the City,5,-11.9282255,2.2904136
501,The Last Witch Hunter,3,-10.432319,-1.9198421
502,Red Planet,3,-8.481071,-7.577544
503,Arthur and the Invisibles,5,-14.081388,1.5754696
504,Oceans,14,4.8484755,-0.3002483
505,A Sound of Thunder,3,-9.955931,-8.579057
506,Pompeii,4,0.93310654,-1.2767843
508,A Beautiful Mind,10,13.761738,-2.0513196
509,The Lion King,5,-15.780291,3.9454246
511,Cloudy with a Chance of Meatballs 2,5,-12.6195345,6.6319537
512,Red Dragon,7,7.958989,-11.111769
513,Hidalgo,3,-8.115023,-2.040113
514,Jack and Jill,8,-3.442769,4.486906
515,2 Fast 2 Furious,13,-2.3692052,-6.749804
516,The Little Prince,5,-14.089918,1.3962591
517,The Invasion,3,-8.396773,-8.757931
518,The Adventures of Rocky & Bullwinkle,5,-14.136158,3.0074937
519,The Secret Life of Pets,5,-13.470074,6.6985717
520,The League of Extraordinary Gentlemen,3,-11.587061,-3.4861147
521,Despicable Me 2,5,-13.697959,6.9199743
522,Independence Day,3,-12.772485,-5.623063
523,The Lost World: Jurassic Park,3,-12.20236,-4.5739675
524,Madagascar,5,-15.109202,4.757599
525,Children of Men,4,3.4234905,-6.428362
526,X-Men,3,-12.340657,-4.580308
527,Wanted,13,-2.4588213,-6.0356307
528,The Rock,13,-6.5950756,-5.006735
530,50 First Dates,0,-4.721223,12.624899
532,Exorcist: The Beginning,6,-2.5466185,-14.10811
533,Inspector Gadget,3,-13.968759,-2.796069
534,Now You See Me,1,1.6746737,-15.046223
535,Grown Ups,8,-4.993678,7.9797583
536,The Terminal,12,1.7972487,6.7916126
538,Hotel for Dogs,8,-9.973837,8.179124
539,Vertical Limit,4,-0.11281013,-3.705005
540,Charlie Wilson's War,10,15.823532,-2.763487
541,Shark Tale,5,-14.7450075,4.9848933
542,Dreamgirls,14,8.549878,2.6891403
544,Be Cool,9,-2.066929,2.7787216
545,Munich,4,6.52785,-4.7573285
546,Tears of the Sun,4,2.3228087,-4.1207466
547,Killers,9,-4.2380676,-2.8220286
548,The Man from U.N.C.L.E.,9,-6.9825425,-1.2295185
549,Spanglish,11,3.9045126,15.228945
550,Monster House,5,-12.23863,6.105214
551,Bandits,11,7.821503,12.485001
552,First Knight,13,-7.004672,-4.4555964
553,Anna and the King,2,12.3087435,4.0990343
554,Immortals,2,9.16603,7.407837
555,Hostage,1,2.7414165,-12.791189
556,Titan A.E.,3,-14.862799,-1.2763193
557,Hollywood Homicide,9,-2.8991883,-3.0061796
558,Soldier,4,1.6492293,-3.4161325
560,Monkeybone,8,-9.218128,5.148954
